sample_id,category,split
ASCARIASIS__Screening prompts__you experience vomiting before ,ASCARIASIS,test
CHOLERA__Diagnostic prompts__DARKFIELD microscopy diagnose cholera finish,CHOLERA,test
COVID__diagnostic prompts__You got tested using nasopharyngeal swab,COVID,test
COVID__diagnostic prompts__you got tested using lateral flow test ,COVID,test
COVID__diagnostic prompts__you refeered for RT-LAMP test ,COVID,test
COVID__screening prompts__anyone your household got shortness breath before,COVID,test
COVID__screening prompts__you got night sweats before ,COVID,test
COVID__screening prompts__you have shortness breath combined with breathing difficulty,COVID,test
EBOLA VIRUS__Screening prompts__You experienced diarrhea before,EBOLA VIRUS,test
EBOLA VIRUS__Screening prompts__You experienced sudden fever before,EBOLA VIRUS,test
EBOLA VIRUS__Screening prompts__You experienced weakness before,EBOLA VIRUS,test
ECTOPIC PREGNANCY__Diagnostic prompts__DOPPLER SCAN used assess for ectopic pregnancy,ECTOPIC PREGNANCY,test
ECTOPIC PREGNANCY__Screening prompts__you got shoulder pain in pregnancy,ECTOPIC PREGNANCY,test
GONORRHEA__screening prompts__you experience pelvic pain in past week  - Copy (2),GONORRHEA,test
GONORRHEA__screening prompts__you experience pelvic swollen testicles in past week ,GONORRHEA,test
GONORRHEA__screening prompts__you experience pelvic swollen testicles in past week  - Copy (2),GONORRHEA,test
HEPATITIS B__Screening prompts__You experienced fever in past week ,HEPATITIS B,test
HEPATITIS C__Diagnostic promts__ELISA done to check  for hepatitis C,HEPATITIS C,test
HEPATITIS C__Diagnostic promts__Liver function test conducted to check for hepatitis C,HEPATITIS C,test
HERPES SIMPLEX__Diagnostic prompts__Pcr finished to test for herpes simplex virus ,HERPES SIMPLEX,test
HIV__diagnostic prompts__you undergo elisa for HIV AIDS,HIV,test
HIV__screening prompts__you experience fatigue before,HIV,test
HOOKWORM INFECTION__Diagnostic prompts__stool microscopy test for hookworm infection finish,HOOKWORM INFECTION,test
HOOKWORM INFECTION__Screening prompts__you experienced abdominal pain before,HOOKWORM INFECTION,test
MALARIA__diagnostic prompts__Blood serology test finished,MALARIA,test
MALARIA__diagnostic prompts__Lab person finish rapid malaria diagnostic ,MALARIA,test
MALARIA__diagnostic prompts__Lab person finished antigen detection ,MALARIA,test
MALARIA__diagnostic prompts__You reffered for antigen dectection ,MALARIA,test
MALARIA__screening prompts__anyone your family got vomiting before ,MALARIA,test
MALARIA__screening prompts__you got vomiting past few days,MALARIA,test
MOLLUSCUM CONTAGIUSUM__Screening prompts__you got redness before ,MOLLUSCUM CONTAGIUSUM,test
PELVIC INFLAMMATORY DISEASE (PID)__Diagnostic prompts__Naat diagnose pelvic inflammatory disease finish ,PELVIC INFLAMMATORY DISEASE (PID),test
PELVIC INFLAMMATORY DISEASE (PID)__Screening prompts__You got not normal vaginal discharge before,PELVIC INFLAMMATORY DISEASE (PID),test
PLACENTA PREVIA__Diagnostic prompts__Fetal monitoring used assess for placenta previa ,PLACENTA PREVIA,test
PLACENTA PREVIA__Diagnostic prompts__Transvaginal ultrasound used assesss for placenta previa,PLACENTA PREVIA,test
POSPARTUM HEMORRHAGE__Diagnostic prompts__Vital signs monitoring used to asess for postartum hermorrhage ],POSPARTUM HEMORRHAGE,test
PREECLAMPSIA__Diagnostic prompts__24 hour urine protein used assess for preeclampsia,PREECLAMPSIA,test
PREECLAMPSIA__HUMAN PAPILOMA VIRUS__Diagnostic prompts__you undergo colposcopy for human papiloma virus finish,PREECLAMPSIA,test
PREECLAMPSIA__Screening prompts__you experienced visual disturbances during pregn,PREECLAMPSIA,test
PRETERM  LABOR__Screening prompts__you got cramping during pregnancy ,PRETERM  LABOR,test
PRETERM  LABOR__Screening prompts__you got low back pain during pregnancy ,PRETERM  LABOR,test
SCHISTOSOMIASIS__Diagnostic prompts__urine filtration test for schistosomiasis finish ,SCHISTOSOMIASIS,test
SUBSTANCE USE DISORDER__Diagnostic prompts__Screening questionnaires finish for substance use disorders assessment,SUBSTANCE USE DISORDER,test
SUBSTANCE USE DISORDER__Screening prompts__you experiencing loss of control frequently ,SUBSTANCE USE DISORDER,test
SYPHILLIS__screening prompts__you experience fatigue in past week ,SYPHILLIS,test
TRICHURIASIS__Screening prompts__you got blood diarrhea before,TRICHURIASIS,test
TUBERCLOSIS__diagnostic prompts__clinician requested sputum culture ,TUBERCLOSIS,test
TUBERCLOSIS__diagnostic prompts__you referred for sputum smear test ,TUBERCLOSIS,test
TUBERCLOSIS__diagnostic prompts__you undergone sputum smear before ,TUBERCLOSIS,test
TUBERCLOSIS__diagnostic prompts__your sputum tested with sputum culture,TUBERCLOSIS,test
TUBERCLOSIS__screening prompts__you got night sweats before ,TUBERCLOSIS,test
TUBERCLOSIS__screening prompts__you got persistent cough lasting 2 weeks,TUBERCLOSIS,test
TYPHOID__Diagnostic prompts__stool culture diagnose typhoid finish ,TYPHOID,test
TYPHOID__Screening prompts__you experienced loss of appetite before ,TYPHOID,test
YELLOW FEVER__Diagnostic prompts__Elisa confirm yellow fever finish ,YELLOW FEVER,test
YELLOW FEVER__Diagnostic prompts__Liver function test confirm yellow fever finish ,YELLOW FEVER,test
ASCARIASIS__Diagnostic prompts__ABDOMINAL ULTRASOUND  test  for ascariasis finish ,ASCARIASIS,train
ASCARIASIS__Diagnostic prompts__CHEST X-RAY  test  for ascariasis finish ,ASCARIASIS,train
ASCARIASIS__Diagnostic prompts__PCR test for ascariasis finish ,ASCARIASIS,train
ASCARIASIS__Screening prompts__you experience wheezing before ,ASCARIASIS,train
ASCARIASIS__Screening prompts__you feel like vomiting before ,ASCARIASIS,train
ASCARIASIS__Screening prompts__you got cough before,ASCARIASIS,train
CHOLERA__Diagnostic prompts__RECTAL SWAB  diagnose cholera finish,CHOLERA,train
CHOLERA__Diagnostic prompts__Rapid dipstick diagnose cholera finish,CHOLERA,train
CHOLERA__Screening prompts__you experienced vomiting before ,CHOLERA,train
CHOLERA__Screening prompts__you feel like vomiting before ,CHOLERA,train
CHOLERA__Screening prompts__you got dry mouth before ,CHOLERA,train
CHOLERA__Screening prompts__you got leg pain before,CHOLERA,train
CHOLERA__Screening prompts__you got watery diarrhea before,CHOLERA,train
COVID__diagnostic prompts__Healthcare worker Do antigen rapid diagnostic,COVID,train
COVID__diagnostic prompts__RT-LAMP test finished ,COVID,train
COVID__diagnostic prompts__lateral flow test finished ,COVID,train
COVID__diagnostic prompts__you got taken nasopharyngeal swab before,COVID,train
COVID__diagnostic prompts__you got tested using pcr,COVID,train
COVID__diagnostic prompts__you refeered for antigen rapid diagnostic test  ,COVID,train
COVID__diagnostic prompts__you refeered for lateral flow test  ,COVID,train
